dataset_title,id,image_filename,organ,disease_state,oncotree_code,species,patient,st_technology,data_publication_date,license,study_link,download_page_link1,inter_spot_dist,spot_diameter,spots_under_tissue,preservation_method,nb_genes,treatment_comment,pixel_size_um_embedded,pixel_size_um_estimated,magnification,fullres_px_width,fullres_px_height,tissue,disease_comment,subseries,hest_version_added
Fresh Frozen Mouse Brain Hemisphere with 5K Mouse Pan Tissue and Pathways Panel,TENX159,TENX159.tif,Brain,Healthy,,Mus musculus,,Xenium,7/31/24,Creative Commons Attribution,,,,,3429,Fresh Frozen,13780,,0.2737678319019519,0.2740270717573725,40x,17051,24689,Brain,,,v1_1_0
FFPE Human Skin Primary Dermal Melanoma with 5K Human Pan Tissue and Pathways Panel,TENX158,TENX158.tif,Skin,Cancer,SKCM,Homo sapiens,,Xenium,7/31/24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/xenium-prime-ffpe-human-skin,,,2179,FFPE,10017,,0.27377693099181416,0.2737536812559247,40x,18669,35787,Skin,Primary Dermal Melanoma ,,v1_1_0
FFPE Human Prostate Adenocarcinoma with 5K Human Pan Tissue and Pathways Panel,TENX157,TENX157.tif,Prostate,Cancer,PRAD,Homo sapiens,,Xenium,7/31/24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/xenium-prime-ffpe-human-prostate,,,4427,FFPE,10006,,0.2737717292963757,0.2737414653044506,40x,25002,49976,Prostate,,,v1_1_0
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX156,TENX156.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 1,Visium HD,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,2,2,2179,FFPE,18085,,0.2645833333333333,0.27380232456548104,40x,71106,58791,Colon,Stage II-A ,"Visium HD, Sample P1 CRC",v1_1_0
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX155,TENX155.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 1,Visium HD,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,2,2,2281,FFPE,18085,,0.2645833333333333,0.27387441992687445,40x,75250,48740,Colon,,"Visium HD, Sample P2 CRC",v1_1_0
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX154,TENX154.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 1,Visium HD,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,2,2,2220,FFPE,18085,,0.2645833333333333,0.27377050932982705,40x,72897,64370,Colon,,"Visium HD, Sample P5 CRC",v1_1_0
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX153,TENX153.tif,Bowel,Healthy,,Homo sapiens,Patient 1,Visium HD,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,2,2,2018,FFPE,18085,,0.2645833333333333,0.27390654305363404,40x,80562,42537,Colon,Stage IV-A ,"Visium HD, Sample P3 NAT",v1_1_0
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX152,TENX152.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 1,Visium,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,100,55,4269,FFPE,18085,,0.2645833333333333,0.27372396033026947,40x,76190,49099,Colon,,"Visium CytAssist v2, Sample P2 CRC",v1_1_0
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX149,TENX149.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 1,Xenium,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,,,4009,FFPE,541,,0.2737768185611484,0.2740308880582206,40x,70534,60222,Colon,Stage II-A ,"Xenium In Situ, Sample P1 CRC",v1_1_0
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX148,TENX148.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 1,Xenium,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,,,4379,FFPE,541,,0.27377618895112676,0.27376035716359765,40x,75184,48582,Colon,,"Xenium In Situ, Sample P2 CRC",v1_1_0
